"Name","PNPClass","Manufacturer","ConfigManagerErrorCode","Status","PNPDeviceID"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#000000003A3B6000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#0000000039DB6000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#000000001CE86000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#00000000590B6000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#000000007E49E000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#00000000694B6000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#000000002F906000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEAF-CDDB-11EC-B415-806E6F6E6963}#000000029E000000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#000000003ABB6000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#0000000033D36000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#0000000031906000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEAF-CDDB-11EC-B415-806E6F6E6963}#0000000006000000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#0000000078386000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB9-CDDB-11EC-B415-806E6F6E6963}#0000000000620000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEAF-CDDB-11EC-B415-806E6F6E6963}#000000029E040000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#000000002F886000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEAF-CDDB-11EC-B415-806E6F6E6963}#0000000014000000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEAF-CDDB-11EC-B415-806E6F6E6963}#00000010DB600000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#000000002F8E6000"
"卷","Volume","Microsoft","0","OK","STORAGE\VOLUME\{DC9ADEB7-CDDB-11EC-B415-806E6F6E6963}#000000006B836000"
